n;preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area;cobertura
1152;260760;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;1;0;0;42;1
4649;260760;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;1;0;0;42;1
190;260000;LARANJAL;Casa;Rua Taquara;Pelotas RS;2;0;2;200;0
246;260000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;0;2;190;0
296;260000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;;0
443;260000;TRES VENDAS;Terreno Padrao;Rua Prof Carlos Henrique Nogueira;Pelotas RS;;0;0;360;0
566;260000;RECANTO DE PORTUGAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;424;0
674;260000;CENTRO;Apartamento;;Pelotas RS;3;1;0;75;0
687;260000;CENTRO;Apartamento;;Pelotas RS;2;0;1;68;0
712;260000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;92;0
714;260000;LARANJAL VAL VERDE;Casa;Rua Santiago;Pelotas RS;3;1;2;100;0
811;260000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;125;0
1103;260000;AREAL;Terreno Padrao;Rua Com Rafael Mazza;Pelotas RS;;0;0;2640;0
1147;260000;TRES VENDAS;Casa;;Pelotas RS;2;0;0;120;0
1238;260000;CENTRO;Apartamento;;Pelotas RS;2;0;1;114;0
1274;260000;LARANJAL;Casa;Rua Esteio;Pelotas RS;2;0;2;60;0
1685;260000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;54;0
1736;260000;RECANTO DE PORTUGAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;69;0
1869;260000;TRES VENDAS;Casa de Condominio;Rua Olegario Mariano;Pelotas RS;2;0;1;70;0
1908;260000;Barro Duro;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;120;0
1960;260000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;80;0
2072;260000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;390;0
2103;260000;FRAGATA;Apartamento;;Pelotas RS;3;0;1;78;0
2191;260000;TRES VENDAS;Casa;Rua Sao Geraldo;Pelotas RS;3;0;4;148;0
2249;260000;CENTRO;Terreno Padrao;Dom Pedro II;Pelotas RS;;0;0;;0
2338;260000;Jardim Europa;Casa;Francisco Jesus Vernetti;Pelotas RS;3;0;1;210;0
2582;260000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;0;0;153;0
2756;260000;CENTRO;Apartamento;Barao de Santa Tecla;Pelotas RS;2;0;1;;0
2875;260000;LARANJAL;Casa;Encantado;Pelotas RS;2;0;5;100;0
2890;260000;LARANJAL;Terreno Padrao;Rua Vila Real;Pelotas RS;;0;0;1000;0
2984;260000;CENTRO;Apartamento;Rua Anchieta;Pelotas RS;3;0;1;83;0
3034;260000;CENTRO;Apartamento;Uruguai;Pelotas RS;3;1;1;95;0
3198;260000;CENTRO;Casa;Hugo Veiga;Pelotas RS;2;2;0;194;0
3391;260000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;2;75;0
3636;260000;Obelisco;Casa;Rua Dr Francisco Ribeiro da Silva;Pelotas RS;2;0;3;120;0
3638;260000;CENTRO;Casa;Albuquerque de Barros;Pelotas RS;2;1;1;115;0
3912;260000;Zona Norte;Apartamento;Presidente Juscelino Kubitschek de Oliveira;Pelotas RS;2;1;1;60;0
3974;260000;LARANJAL;Casa;;Pelotas RS;2;0;3;55;0
4026;260000;Jardim Europa;Casa;Francisco Jesus Vernetti;Pelotas RS;3;0;1;210;0
4083;260000;CENTRO;Apartamento;Rua Anchieta;Pelotas RS;3;0;1;83;0
4300;260000;CENTRO;Apartamento;Rua Felix da Cunha;Pelotas RS;2;0;0;83;0
4444;260000;AREAL;Terreno Padrao;Rua Com Rafael Mazza;Pelotas RS;;0;0;2640;0
4603;260000;Obelisco;Casa;Rua Dr Francisco Ribeiro da Silva;Pelotas RS;2;0;3;120;0
4926;260000;CENTRO;Apartamento;;Pelotas RS;2;0;1;68;0
5010;260000;CENTRO;Apartamento;;Pelotas RS;2;0;1;114;0
5185;260000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
5188;260000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
5385;260000;Barro Duro;Casa;Rua Taquara;Pelotas RS;2;0;2;120;0
5478;260000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;272;0
5584;260000;Simoes Lopes;Casa;Endereco Nao Informado;Pelotas RS;3;0;2;180;0
2630;259700;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;0;3;90;0
5127;259000;AREAL;Apartamento;;Pelotas RS;3;0;1;77;0
